Player,Team,BYE,POS,Age,Key,FO ID,Risk,Fpts
Jared Allen,CHI,7,IDP-LB,33,Jared Allen|CHI|IDP-LB,AllenJar04,Yellow,58
Adam Jones,CIN,7,IDP-CB,32,Adam Jones|CIN|IDP-CB,JonesPac05,Yellow,58
Ndamukong Suh,MIA,5,IDP-DT,28,Ndamukong Suh|MIA|IDP-DT,SuhNda10,Yellow,57
Aaron Donald,STL,6,IDP-DT,24,Aaron Donald|STL|IDP-DT,DonaldAar14,Yellow,57
Dominique Rodgers-Cromartie,NYG,11,IDP-CB,29,Dominique Rodgers-Cromartie|NYG|IDP-CB,Rodgers-CromartieDom08,Yellow,57
Damontre Moore,NYG,11,IDP-DE,23,Damontre Moore|NYG|IDP-DE,MooreDam13,Red,56
Chris Clemons,JAC,8,IDP-DE,34,Chris Clemons|JAC|IDP-DE,ClemonsChr03,Yellow,56
Fletcher Cox,PHI,8,IDP-DE,25,Fletcher Cox|PHI|IDP-DE,CoxFle12,Yellow,55
Cameron Jordan,NO,11,IDP-DE,26,Cameron Jordan|NO|IDP-DE,JordanCam11,Yellow,55
Trent Cole,IND,10,IDP-LB,33,Trent Cole|IND|IDP-LB,ColeTre05,Yellow,54
Quinton Coples,NYJ,5,IDP-LB,25,Quinton Coples|NYJ|IDP-LB,CoplesQui12,Yellow,54
Jared Crick,HOU,9,IDP-DE,26,Jared Crick|HOU|IDP-DE,CrickJar12,Yellow,54
Cameron Heyward,PIT,11,IDP-DE,26,Cameron Heyward|PIT|IDP-DE,HeywardCam11,Yellow,54
Sean Smith,KC,9,IDP-CB,28,Sean Smith|KC|IDP-CB,SmithSea09,Yellow,54
Gerald McCoy,TB,6,IDP-DT,27,Gerald McCoy|TB|IDP-DT,McCoyGer10,Yellow,52
George Selvie,NYG,11,IDP-DE,28,George Selvie|NYG|IDP-DE,SelvieGeo10,Red,52
Kroy Biermann,ATL,10,IDP-DE,30,Kroy Biermann|ATL|IDP-DE,BiermannKro08,Yellow,52
Malik Jackson,DEN,7,IDP-DE,25,Malik Jackson|DEN|IDP-DE,JacksonMal12,Yellow,52
Mario Edwards,OAK,6,IDP-DE,21,Mario Edwards|OAK|IDP-DE,EdwardsMar15,Yellow,52
Bud Dupree,PIT,11,IDP-LB,22,Bud Dupree|PIT|IDP-LB,DupreeBud15,Yellow,51
Jabaal Sheard,NE,4,IDP-DE,26,Jabaal Sheard|NE|IDP-DE,SheardJab11,Yellow,51
Kendall Langford,IND,10,IDP-DE,29,Kendall Langford|IND|IDP-DE,LangfordKen08,Yellow,51
