fftoday_id,full_name,team,position,fantasy_points,bye
11497,Eric Decker,NYJ,wr,122.6,5
13193,Charles Johnson,MIN,wr,121.7,5
11019,Jeremy Maclin,KC,wr,121.6,9
11488,Brandon LaFell,NE,wr,120.5,4
14137,John Brown,ARI,wr,117.7,9
2918,Pierre Garcon,WAS,wr,115.1,8
2482,Roddy White,ATL,wr,115.0,10
14298,Allen Robinson,JAC,wr,111.5,8
11912,Torrey Smith,SF,wr,111.5,10
13379,Kenny Stills,MIA,wr,110.9,5
2681,Marques Colston,NO,wr,110.5,11
13446,Terrance Williams,DAL,wr,110.1,6
3061,Larry Fitzgerald,ARI,wr,109.8,9
12173,Doug Baldwin,SEA,wr,108.9,9
11030,Kenny Britt,STL,wr,108.8,6
12337,Rueben Randle,NYG,wr,108.7,11
12288,Michael Floyd,ARI,wr,106.9,9
12295,Kendall Wright,TEN,wr,106.5,4
2758,Dwayne Bowe,CLE,wr,106.5,11
15175,Devin Funchess,CAR,wr,104.7,5
2604,Reggie Bush,SF,rb,73.8,10
14447,Damien Williams,MIA,rb,72.8,5
13338,Denard Robinson,JAC,rb,66.8,8
14359,Andre Williams,NYG,rb,63.8,11
12465,Dan Herron,IND,rb,62.8,10
14333,Lorenzo Taliaferro,BAL,rb,62.3,9
15038,Benny Cunningham,STL,rb,61.7,6
11980,Bilal Powell,NYJ,rb,61.1,5
15226,Matt Jones,WAS,rb,60.9,8
12341,Ronnie Hillman,DEN,rb,60.8,7
2951,Ray Rice,FA,rb,60.6,-
11603,James Starks,GB,rb,58.2,7
15106,Javorius Allen,BAL,rb,57.6,9
15004,Lance Dunbar,DAL,rb,54.6,6
13334,Theo Riddick,DET,rb,53.9,9
13019,Montee Ball,DEN,rb,53.4,7
15223,David Johnson,ARI,rb,50.8,9
15028,Chris Polk,HOU,rb,50.1,9
12380,Robert Turbin,SEA,rb,49.4,9
2611,DeAngelo Williams,PIT,rb,48.6,11
2988,Mike Tolbert,CAR,rb,48.5,5
11673,Antone Smith,ATL,rb,48.0,10
15112,Cameron Artis-Payne,CAR,rb,46.1,5
11927,Stevan Ridley,NYJ,rb,46.0,5
11446,Dexter McCluster,TEN,rb,45.5,4
14260,Jerick McKinnon,MIN,rb,45.4,5
14465,Branden Oliver,SD,rb,42.9,10
14358,James White,NE,rb,39.3,4
14356,Terrance West,CLE,rb,39.0,11
14502,Jonas Gray,NE,rb,38.8,4
12842,Travaris Cadet,NE,rb,38.1,4
12672,Bobby Rainey,TB,rb,36.5,6
15102,Jay Ajayi,MIA,rb,36.3,5
14334,De'Anthony Thomas,KC,rb,36.0,9
15039,Khiry Robinson,NO,rb,35.6,11
11969,Kendall Hunter,SF,rb,35.3,10
12841,Brandon Bolden,NE,rb,34.8,4
11461,Toby Gerhart,JAC,rb,34.0,8
12278,Trent Richardson,OAK,rb,32.7,6
3222,Marcel Reece,OAK,rb,31.6,6
13371,Zac Stacy,NYJ,rb,28.7,5
14144,Ka'Deem Carey,CHI,rb,28.6,7
15293,Josh Robinson,IND,rb,27.0,10
11583,Anthony Dixon,BUF,rb,24.9,8
13396,Stepfan Taylor,ARI,rb,22.6,9
14532,Josh Harris,PIT,rb,22.1,11
13278,Christine Michael,SEA,rb,22.0,9
15051,Jonathan Grimes,HOU,rb,21.1,9
2723,John Kuhn,GB,rb,18.1,7
13213,Kyle Juszczyk,BAL,rb,16.8,9
2756,Marshawn Lynch,SEA,rb,229.3,9
2902,Jamaal Charles,KC,rb,228.2,9
2754,Adrian Peterson,MIN,rb,226.7,5
13029,Le'Veon Bell,PIT,rb,223.5,11
13230,Eddie Lacy,GB,rb,221.3,7
2916,Matt Forte,CHI,rb,219.0,7
11925,DeMarco Murray,PHI,rb,210.4,8
13008,C.J. Anderson,DEN,rb,207.1,7
2915,Justin Forsett,BAL,rb,189.9,9
14207,Jeremy Hill,CIN,rb,189.1,7
11882,Mark Ingram,NO,rb,183.1,11
11053,LeSean McCoy,BUF,rb,178.1,8
12371,Lamar Miller,MIA,rb,172.7,5
15187,Melvin Gordon,SD,rb,170.5,10
2491,Frank Gore,IND,rb,166.0,10
11746,LeGarrette Blount,NE,rb,165.8,4
12447,Alfred Morris,WAS,rb,159.4,8
13295,Latavius Murray,OAK,rb,159.0,6
13323,Joseph Randle,DAL,rb,156.0,6
14212,Carlos Hyde,SF,rb,155.2,10
13103,Andre Ellington,ARI,rb,151.2,9
2967,Jonathan Stewart,CAR,rb,149.6,5
14381,Isaiah Crowell,CLE,rb,143.8,11
15355,T.J. Yeldon,JAC,rb,143.2,8
11250,Rashad Jennings,NYG,rb,141.7,11
13031,Giovani Bernard,CIN,rb,137.8,7
15100,Ameer Abdullah,DET,rb,133.7,9
15197,Todd Gurley,STL,rb,131.2,6
15138,Tevin Coleman,ATL,rb,129.0,10
11719,Chris Ivory,NYJ,rb,128.5,5
11754,Joique Bell,DET,rb,126.9,9
12306,Doug Martin,TB,rb,126.6,6
11419,C.J. Spiller,NO,rb,122.2,11
11345,Arian Foster,HOU,rb,114.2,9
14182,Devonta Freeman,ATL,rb,104.1,10
14121,Alfred Blue,HOU,rb,99.6,9
14305,Bishop Sankey,TEN,rb,99.2,4
11910,Shane Vereen,NYG,rb,93.9,11
2513,Darren Sproles,PHI,rb,88.3,8
15137,David Cobb,TEN,rb,87.3,4
2836,Fred Jackson,BUF,rb,86.0,8
15221,Duke Johnson,CLE,rb,84.8,11
11959,Roy Helu,OAK,rb,83.6,6
11422,Ryan Mathews,PHI,rb,83.3,8
14314,Charles Sims,TB,rb,83.0,6
11331,Danny Woodhead,SD,rb,82.7,10
13084,Knile Davis,KC,rb,81.9,9
14252,Tre Mason,STL,rb,78.3,6
2940,Darren McFadden,DAL,rb,75.1,6
2932,Chris Johnson,ARI,rb,73.9,9
