espn_id,full_name,team,position,injury,fantasy_points
17177,Taylor Gabriel,Cle,WR,False,51
60004,CIN_DST,CIN,DST,False,102
10453,Ted Ginn Jr.,Car,WR,False,50
10605,Brent Celek,Phi,TE,False,35.8
13371,Garrett Graham,Hou,TE,False,26.7
14051,Ryan Williams,Ryan,Williams,True,18
16781,Paul Richardson,Paul,Richardson,True,5
10147,Miles Austin,Phi,WR,False,22
11318,Harry Douglas,Ten,WR,False,47
15965,Dustin Hopkins,NO,K,False,127
60011,IND_DST,IND,DST,False,101
14037,Ryan Mallett,Hou,QB,False,76.4
60027,TB_DST,TB,DST,False,105
12477,Brian Hoyer,Hou,QB,False,133.7
13440,Andrew Quarless,GB,TE,False,26.9
17193,James Wright,James,Wright,True,1
17172,Cairo Santos,KC,K,False,125
12460,Graham Gano,Car,K,False,124
15836,Gavin Escobar,Dal,TE,False,37.9
17137,Jeff Janis,GB,WR,False,2
14163,Tyrod Taylor,Buf,QB,False,66.4
17139,Corey Washington,NYG,WR,False,4
17136,Dontrelle Inman,SD,WR,False,14
9307,Nate Washington,Hou,WR,False,93
9614,Marcedes Lewis,Jac,TE,False,33.8
60019,NYG_DST,NYG,DST,False,101
16736,Johnny Manziel,Cle,QB,False,11.1
12482,Mark Sanchez,Phi,QB,False,6
16285,Timothy Wright,TB,TE,False,22.9
14153,Denarius Moore,Cin,WR,False,1
13228,Jermaine Gresham,Ari,TE,False,21.6
16775,Crockett Gillmore,Bal,TE,False,37.8
5633,Jerricho Cotchery,Car,WR,False,49
17650,Tyler Kroft,Cin,TE,False,20.9
16121,Luke Willson,Sea,TE,False,18
12586,Hakeem Nicks,Ten,WR,False,28
17601,Rashad Greene,Jac,WR,False,24.9
60001,ATL_DST,ATL,DST,False,81
8461,Mike Nugent,Cin,K,False,123
15091,Randy Bullock,Hou,K,False,125
16330,Joseph Fauria,Det,TE,False,17.9
17600,Jamison Crowder,Wsh,WR,False,33.6
11364,Gary Barnidge,Cle,TE,False,15.9
17475,Clive Walford,Oak,TE,False,44.7
15853,Vance McDonald,SF,TE,False,6.9
60006,DAL_DST,DAL,DST,False,82
15864,Geno Smith,Geno,Smith,True,88.5
16766,C.J. Fiedorowicz,Hou,TE,False,20.9
14880,Kirk Cousins,Wsh,QB,False,12.1
